Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,14323,1003,393,6315,1079,986,6881,0,-3.469761139542345E7,-5.846796081488204E7,60
1,14336,1008,393,6340,1078,984,7193,0,-34697594,-58467906,70
1,14364,1012,392,6381,1052,988,7240,0,-34697586,-58467876,60
1,14426,1019,393,6416,1027,994,7467,0,-34697581,-58467847,60
1,14443,1022,392,6442,983,999,7550,0,-34697574,-58467817,70
1,14616,1021,393,6468,959,994,7754,0,-34697569,-58467787,70
1,14520,1022,391,6496,935,995,7828,0,-34697564,-58467756,70
1,14774,1025,392,6509,910,994,7862,0,-34697559,-58467726,70
1,14687,1027,392,6530,910,996,7884,0,-34697554,-58467696,70
1,14807,1027,391,6560,915,992,7773,0,-34697549,-58467666,70
1,14785,1030,393,6593,927,989,7632,0,-34697541,-58467634,70
1,14789,1033,391,6617,947,987,7519,0,-34697534,-58467604,70
1,15041,1038,392,6649,983,982,7370,0,-34697528,-58467574,70
1,14844,1043,390,6679,1013,983,7197,0,-34697518,-58467544,70
1,14899,1050,390,6699,1050,982,7095,0,-34697509,-58467514,70
1,14940,1056,390,6720,1066,987,6995,0,-34697499,-58467484,70
1,15011,1062,390,6739,1082,992,6973,0,-34697491,-58467454,70
1,15079,1066,391,6754,1060,995,6974,0,-34697481,-58467424,70
1,15140,1068,390,6772,1045,998,7072,0,-34697473,-58467394,70
1,15224,1069,392,6786,1022,996,7188,0,-34697464,-58467364,70
1,15216,1070,390,6805,1032,996,7361,0,-34697458,-58467332,70
1,15155,1071,391,6833,1046,995,7450,0,-34697451,-58467301,70
1,15247,1073,391,6846,1078,1002,7562,0,-34697444,-58467269,70
1,15232,1075,391,6866,1098,1011,7505,0,-34697438,-58467239,70
1,15384,1073,392,6887,1119,1023,7511,0,-34697431,-58467207,70
1,15033,1066,391,6890,1137,1027,7523,0,-34697424,-58467176,70
1,14659,1056,394,6846,1124,1028,7678,0,-34697418,-58467144,80
1,14496,1045,393,6684,1140,1032,7894,0,-34697413,-58467112,80
1,14527,1035,395,6445,1150,1035,8065,0,-34697409,-58467081,80
1,14430,1023,394,6109,1156,1037,8217,0,-34697406,-58467049,80
1,14061,1008,395,5723,1139,1024,8388,0,-34697404,-58467017,80
1,13927,996,395,5386,1155,1021,8689,0,-34697404,-58466987,80
1,13866,990,395,5037,1150,1011,8830,0,-34697404,-58466957,80
1,13821,984,397,4761,1138,1002,9152,0,-34697406,-58466927,80
