Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,15064,1048,454,6862,1047,988,6730,0,-34697599,-58467966,60
1,14921,1053,455,6898,1050,992,6904,0,-34697591,-58467936,60
1,14921,1053,455,6898,1050,992,6904,0,-34697587,-58467921,60
1,14917,1057,455,6912,1035,987,7004,0,-34697583,-58467906,60
1,15018,1059,455,6929,1024,989,7108,0,-34697574,-58467876,60
1,15048,1064,456,6943,1015,984,7213,0,-34697566,-58467844,60
1,15159,1070,455,6956,1015,998,7225,0,-34697558,-58467814,60
1,15228,1073,454,6968,999,998,7256,0,-34697549,-58467784,70
1,15337,1072,454,6989,1000,1011,7373,0,-34697543,-58467752,70
1,15251,1072,453,6978,997,996,7366,0,-34697534,-58467721,70
1,15259,1073,455,6947,991,997,7390,0,-34697528,-58467689,70
1,15263,1073,454,6902,997,990,7366,0,-34697513,-58467627,70
1,15267,1079,455,6858,992,993,7366,0,-34697509,-58467612,70
1,15364,1080,456,6800,992,996,7374,0,-34697504,-58467596,70
1,15294,1081,457,6782,992,994,7372,0,-34697498,-58467564,70
1,15396,1084,457,6775,997,994,7375,0,-34697489,-58467532,70
1,15380,1091,457,6783,1003,992,7326,0,-34697481,-58467502,70
1,15396,1091,457,6822,1007,995,7351,0,-34697474,-58467471,70
1,15424,1092,456,6847,1026,996,7327,0,-34697466,-58467439,70
1,15388,1095,456,6873,1033,995,7325,0,-34697449,-58467376,70
1,15388,1095,455,6889,1057,1005,7325,0,-34697446,-58467359,70
1,15404,1097,456,6880,1063,994,7312,0,-34697443,-58467342,70
1,15372,1094,456,6844,1092,1006,7377,0,-34697434,-58467311,70
1,15333,1095,457,6791,1104,998,7382,0,-34697428,-58467279,70
1,15380,1096,457,6743,1123,1006,7507,0,-34697421,-58467247,70
1,15404,1092,458,6666,1122,1001,7555,0,-34697414,-58467216,70
1,15388,1093,459,6602,1152,1001,7698,0,-34697408,-58467182,70
1,15388,1092,459,6579,1149,999,7809,0,-34697403,-58467151,70
1,15360,1090,458,6565,1147,1007,8008,0,-34697399,-58467117,70
1,15357,1092,458,6580,1170,1023,8214,0,-34697396,-58467086,70
1,15337,1088,458,6614,1167,1021,8396,0,-34697394,-58467052,70
1,15357,1074,458,6658,1159,1010,8532,0,-34697393,-58467021,70
1,15255,1069,458,6676,1159,1004,8844,0,-34697393,-58466987,70
1,15243,1073,459,6687,1166,1004,9027,0,-34697393,-58466956,70
1,15337,1068,458,6703,1139,994,9234,0,-34697396,-58466924,70
1,15232,1068,459,6693,1171,1003,9580,0,-34697399,-58466891,70
1,15263,1074,458,6689,1172,998,9704,0,-34697403,-58466859,70
1,15243,1072,458,6693,1172,1006,10158,0,-34697414,-58466796,70
1,15182,1067,456,6702,1184,1001,10158,0,-34697417,-58466780,70
1,15290,1071,455,6694,1185,998,10412,0,-34697421,-58466764,70
1,15298,1068,455,6701,1173,1006,10568,0,-34697429,-58466734,70
1,15101,1068,454,6719,1177,1010,10918,0,-34697439,-58466704,70
1,15178,1069,455,6741,1170,1040,11123,0,-34697449,-58466674,70
1,14822,1059,455,6775,1139,1058,11379,0,-34697461,-58466646,70
1,13534,1035,457,6793,1146,1066,11725,0,-34697474,-58466618,80
1,12782,1004,456,6758,1133,1073,11887,0,-34697488,-58466590,80
1,12881,981,457,6611,1131,1080,12161,0,-34697503,-58466565,80
1,12040,955,456,6401,1134,1085,12416,0,-34697518,-58466540,80
1,11723,922,456,6112,1135,1070,12658,0,-34697533,-58466516,80
1,11474,893,456,5718,1126,1063,12807,0,-34697548,-58466495,80
1,11450,872,455,5400,1130,1066,13085,0,-34697563,-58466475,80
1,10826,852,457,5128,1116,1070,13322,0,-34697579,-58466455,80
1,11231,824,457,4861,1107,1071,13645,0,-34697596,-58466438,80
1,10816,800,460,4689,1117,1068,13994,0,-34697613,-58466423,80
1,10018,776,459,4572,1106,1077,14201,0,-34697629,-58466408,80
1,10178,750,460,4424,1109,1065,14469,0,-34697646,-58466395,80
1,9621,722,460,4314,1110,1073,14833,0,-34697664,-58466383,80
1,9511,700,459,4225,1105,1078,15066,0,-34697681,-58466373,80
1,8683,676,459,4111,1105,1067,15418,0,-34697698,-58466365,80
1,8440,642,457,4019,1108,1067,15862,0,-34697714,-58466358,80
1,8442,595,459,3949,1103,1053,16046,0,-34697731,-58466351,80
1,8310,595,458,3859,1101,1039,16626,0,-34697746,-58466348,80
1,7816,577,458,3795,1112,1048,17001,0,-34697761,-58466346,80
1,7975,565,458,3734,1101,1033,18049,0,-34697791,-58466346,80
1,7825,548,457,3684,1108,1040,18049,0,-34697797,-58466348,80
1,7742,534,459,3630,1102,1020,18410,0,-34697804,-58466350,80
1,7666,526,458,3575,1105,1032,19075,0,-34697819,-58466353,80
1,7570,517,459,3503,1100,1029,19545,0,-34697831,-58466358,80
1,7451,506,458,3431,1101,1026,20299,0,-34697844,-58466366,80
1,7213,493,457,3360,1096,1011,20859,0,-34697854,-58466375,80
1,7176,487,457,3243,1100,998,21511,0,-34697864,-58466386,70
1,7304,486,456,3167,1094,982,22170,0,-34697874,-58466396,70
1,7453,488,457,3144,1098,987,22815,0,-34697881,-58466408,80
1,7380,503,457,3186,1095,986,23569,0,-34697886,-58466420,80
1,7738,513,457,3303,1107,991,24228,0,-34697891,-58466433,80
1,7606,512,457,3456,1107,988,24804,0,-34697894,-58466448,80
1,7635,520,456,3738,1112,992,25514,0,-34697898,-58466463,80
1,7764,523,456,3977,1108,986,25915,0,-34697899,-58466478,70
1,7814,522,456,4173,1110,997,26720,0,-34697898,-58466493,70
1,7713,532,457,4403,1098,983,27210,0,-34697896,-58466510,70
1,8196,533,456,4566,1096,999,28050,0,-34697891,-58466523,70
1,8225,534,457,4678,1097,972,28740,0,-34697886,-58466538,70
1,8344,543,456,4826,1094,977,29246,0,-34697879,-58466553,70
1,8371,551,456,4927,1095,967,29887,0,-34697871,-58466565,70
1,8411,565,456,5019,1098,977,30406,0,-34697863,-58466578,70
1,8689,575,456,5103,1092,973,30854,0,-34697854,-58466591,80
1,8882,582,457,5170,1091,970,31417,0,-34697843,-58466603,70
1,8858,591,457,5224,1087,963,31902,0,-34697831,-58466613,80
1,9137,605,458,5275,1077,963,32336,0,-34697819,-58466623,70
1,9229,617,457,5314,1048,965,32810,0,-34697806,-58466631,70
1,9354,630,459,5354,1022,951,33266,0,-34697793,-58466640,80
1,9480,643,458,5394,981,951,33589,0,-34697778,-58466646,70
1,9832,662,458,5426,943,949,33984,0,-34697763,-58466651,70
1,10104,682,458,5455,913,967,34273,0,-34697746,-58466656,70
1,10504,696,457,5508,896,976,34453,0,-34697731,-58466661,70
1,10643,706,458,5538,880,991,34292,0,-34697714,-58466667,70
1,10628,713,456,5575,874,995,34103,0,-34697698,-58466674,70
1,10509,714,457,5620,868,1007,33749,0,-34697681,-58466684,80
1,10432,714,455,5649,861,1008,33366,0,-34697666,-58466694,80
1,10480,711,456,5651,863,999,33039,0,-34697651,-58466704,80
1,10396,706,456,5645,859,986,32627,0,-34697636,-58466717,80
1,10764,712,456,5623,865,977,32190,0,-34697623,-58466732,80
1,11121,723,457,5584,870,981,31750,0,-34697611,-58466747,70
1,11057,730,457,5565,863,972,31260,0,-34697599,-58466764,70
1,11725,737,459,5574,875,975,30833,0,-34697589,-58466782,70
1,11367,749,457,5603,880,963,30456,0,-34697579,-58466802,70
1,11514,758,457,5664,873,985,29989,0,-34697573,-58466822,70
1,11612,770,457,5730,876,974,29679,0,-34697564,-58466842,70
1,12287,776,457,5806,880,982,29321,0,-34697558,-58466866,70
1,11829,780,459,5885,868,974,28843,0,-34697553,-58466887,70
1,12048,793,458,5951,849,979,28671,0,-34697548,-58466911,70
1,12674,800,461,6004,859,970,28319,0,-34697544,-58466934,70
1,12205,805,459,6063,857,960,27957,0,-34697543,-58466959,70
1,12682,820,459,6111,867,961,27677,0,-34697543,-58466984,70
1,12404,837,459,6140,874,977,27296,0,-34697543,-58467009,70
1,12660,848,459,6178,914,971,26981,0,-34697544,-58467034,70
1,13123,854,460,6214,929,966,26455,0,-34697548,-58467061,70
1,12674,865,460,6235,948,954,26256,0,-34697551,-58467086,70
1,12964,881,462,6264,965,963,25992,0,-34697556,-58467112,70
1,12878,896,460,6294,982,964,25763,0,-34697561,-58467137,70
1,13066,909,460,6315,986,970,25574,0,-34697568,-58467164,70
1,13224,920,459,6334,988,971,25520,0,-34697574,-58467191,70
1,13377,931,460,6350,992,972,25492,0,-34697581,-58467217,70
1,13516,941,461,6367,996,974,25454,0,-34697586,-58467244,70
1,13627,950,461,6380,998,975,25415,0,-34697593,-58467271,70
1,13701,960,463,6395,998,979,25404,0,-34697599,-58467299,70
1,13805,968,461,6414,997,981,25397,0,-34697606,-58467326,70
1,13963,975,461,6440,995,980,25387,0,-34697614,-58467354,70
1,14035,982,460,6465,996,981,25388,0,-34697621,-58467382,70
1,14104,990,460,6481,989,980,25388,0,-34697628,-58467411,70
1,14265,997,461,6506,985,984,25389,0,-34697634,-58467439,70
1,14347,1004,460,6531,984,981,25389,0,-34697641,-58467469,70
