Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,14749,1036,418,6741,1054,989,7031,0,-3.469761678852353E7,-5.84679585588994E7,70
1,15064,1040,417,6744,1027,991,7031,0,-34697608,-58467934,70
1,14767,1044,417,6770,1012,990,7212,0,-34697601,-58467904,70
1,14847,1047,415,6795,993,993,7269,0,-34697593,-58467874,70
1,14888,1049,415,6814,982,990,7373,0,-34697586,-58467844,70
1,14947,1053,416,6832,975,994,7416,0,-34697579,-58467812,70
1,15041,1056,418,6851,976,989,7442,0,-34697573,-58467782,70
1,15041,1058,417,6867,980,990,7423,0,-34697564,-58467752,70
1,15067,1062,419,6890,980,989,7367,0,-34697558,-58467721,70
1,15079,1067,418,6908,981,992,7328,0,-34697549,-58467691,70
1,15159,1069,417,6919,979,995,7289,0,-34697541,-58467659,70
1,15201,1072,417,6944,974,992,7268,0,-34697533,-58467629,70
1,15224,1074,417,6958,976,995,7251,0,-34697526,-58467597,70
1,15267,1076,418,6968,974,991,7226,0,-34697518,-58467566,70
1,15310,1079,418,6982,983,992,7192,0,-34697508,-58467536,70
1,15325,1082,420,7002,992,992,7159,0,-34697499,-58467504,70
1,15384,1085,418,7015,1004,994,7123,0,-34697491,-58467472,70
1,15384,1088,420,7031,1023,993,7073,0,-34697481,-58467442,70
1,15436,1090,419,7052,1052,994,7066,0,-34697473,-58467411,70
1,15388,1093,419,7067,1067,993,7015,0,-34697463,-58467381,70
1,15416,1095,419,7068,1098,1002,7049,0,-34697454,-58467349,70
1,15396,1096,419,7036,1118,1000,7073,0,-34697444,-58467317,70
1,15388,1095,419,6996,1130,1007,7108,0,-34697436,-58467286,70
1,15376,1094,420,6922,1128,1002,7226,0,-34697429,-58467254,70
1,15412,1092,422,6831,1137,1005,7373,0,-34697421,-58467222,70
1,15404,1090,420,6771,1134,996,7511,0,-34697414,-58467191,70
1,15388,1090,420,6694,1137,998,7742,0,-34697409,-58467159,70
1,15404,1091,419,6658,1136,1001,7910,0,-34697406,-58467126,70
1,15388,1093,418,6660,1162,1011,8116,0,-34697403,-58467094,70
1,15360,1089,418,6680,1162,1009,8248,0,-34697399,-58467061,70
1,15396,1084,418,6710,1160,1006,8447,0,-34697398,-58467027,70
1,15345,1081,419,6733,1164,1010,8657,0,-34697398,-58466996,70
1,15310,1081,420,6736,1178,1008,8846,0,-34697398,-58466962,70
1,15380,1075,422,6724,1149,1002,9051,0,-34697398,-58466931,80
1,15278,1071,420,6717,1155,1006,9368,0,-34697401,-58466897,80
1,15357,1075,420,6688,1160,1002,9571,0,-34697404,-58466866,80
1,15132,1070,419,6668,1165,1005,9773,0,-34697409,-58466834,80
1,15228,1067,419,6671,1183,1002,9998,0,-34697414,-58466802,80
1,15182,1072,419,6672,1198,1015,10302,0,-34697423,-58466771,80
1,15380,1067,420,6681,1208,1023,10419,0,-34697429,-58466739,80
1,15349,1057,421,6701,1208,1029,10669,0,-34697438,-58466709,80
1,15212,1050,421,6720,1204,1049,10904,0,-34697448,-58466679,80
1,15189,1038,422,6750,1164,1063,11172,0,-34697458,-58466651,70
1,13953,1015,421,6769,1167,1065,11617,0,-34697471,-58466623,80
1,13614,990,422,6727,1143,1055,11847,0,-34697484,-58466596,80
1,13366,969,421,6603,1144,1064,12199,0,-34697499,-58466571,80
1,12468,950,421,6404,1140,1074,12472,0,-34697514,-58466546,70
1,12368,926,421,6078,1134,1073,12753,0,-34697529,-58466525,70
1,12116,895,421,5743,1125,1065,12937,0,-34697544,-58466503,70
1,11914,872,422,5408,1128,1065,13248,0,-34697561,-58466483,70
1,11700,852,422,5051,1107,1069,13458,0,-34697578,-58466465,80
1,10114,825,425,4823,1097,1062,13827,0,-34697594,-58466448,80
1,10924,800,423,4651,1107,1058,14142,0,-34697611,-58466433,80
1,10596,781,425,4452,1101,1068,14317,0,-34697629,-58466418,80
1,9807,760,423,4297,1089,1066,14624,0,-34697646,-58466406,80
1,9988,732,423,4183,1096,1064,14936,0,-34697663,-58466395,80
1,9563,709,423,4052,1099,1057,15133,0,-34697679,-58466385,70
1,9397,690,422,3952,1097,1064,15405,0,-34697696,-58466375,70
1,8690,667,423,3878,1096,1063,15810,0,-34697713,-58466370,70
1,8917,645,423,3789,1101,1058,16120,0,-34697729,-58466363,70
1,8788,623,424,3726,1096,1060,16337,0,-34697746,-58466358,70
1,8519,603,423,3668,1092,1048,16732,0,-34697761,-58466355,70
1,8225,581,424,3594,1090,1052,17172,0,-34697776,-58466355,70
1,7916,564,423,3534,1096,1046,17685,0,-34697791,-58466355,70
1,7763,549,423,3489,1096,1045,18093,0,-34697806,-58466356,70
1,7757,528,423,3412,1102,1039,18544,0,-34697821,-58466360,70
1,7501,515,423,3367,1110,1034,18932,0,-34697834,-58466365,70
1,7397,503,424,3320,1104,1026,19445,0,-34697846,-58466370,70
1,7238,489,423,3247,1095,1007,20112,0,-34697858,-58466378,70
1,7169,482,425,3172,1092,992,20826,0,-34697869,-58466388,60
1,7243,488,424,3125,1092,985,21443,0,-34697878,-58466398,60
1,7030,494,424,3111,1097,1005,22156,0,-34697886,-58466408,60
1,7256,500,424,3146,1102,1010,23087,0,-34697893,-58466421,60
1,7334,496,424,3230,1103,1013,23600,0,-34697898,-58466435,60
1,7302,486,424,3416,1109,990,24072,0,-34697904,-58466448,60
1,7272,487,423,3627,1112,984,24591,0,-34697908,-58466463,60
1,7275,494,425,3815,1097,981,25278,0,-34697909,-58466476,60
1,7420,500,425,4056,1097,994,26367,0,-34697908,-58466491,60
1,7549,506,426,4240,1102,991,27067,0,-34697906,-58466505,60
1,7493,507,426,4383,1099,990,27561,0,-34697903,-58466520,60
1,7647,507,425,4550,1088,983,28291,0,-34697899,-58466535,60
1,7951,515,425,4667,1088,982,29010,0,-34697893,-58466548,60
1,7898,521,424,4784,1080,985,29514,0,-34697884,-58466561,60
1,7979,526,424,4907,1074,980,30161,0,-34697876,-58466573,60
1,8105,533,423,4993,1064,982,30784,0,-34697866,-58466583,60
1,8263,540,423,5069,1063,979,31371,0,-34697856,-58466595,60
1,8374,546,424,5162,1058,967,31717,0,-34697846,-58466605,60
1,8428,553,426,5218,1052,956,32146,0,-34697834,-58466613,60
1,8610,568,425,5264,1039,949,32505,0,-34697823,-58466623,60
1,8679,587,426,5313,1025,945,32903,0,-34697809,-58466630,60
1,8969,604,426,5344,1011,944,33155,0,-34697796,-58466638,60
1,9465,624,425,5358,977,938,33410,0,-34697783,-58466645,60
1,9621,646,425,5381,951,947,33647,0,-34697768,-58466651,60
1,9910,667,425,5390,935,944,33802,0,-34697753,-58466658,60
1,10000,685,425,5409,910,949,33848,0,-34697736,-58466665,60
1,10259,704,426,5419,895,960,33762,0,-34697721,-58466671,60
1,10615,723,427,5452,894,978,33699,0,-34697704,-58466679,60
1,10932,733,427,5471,883,1006,33304,0,-34697689,-58466689,60
1,11164,736,427,5516,875,1004,33001,0,-34697674,-58466701,60
1,10911,731,427,5545,882,997,32794,0,-34697659,-58466712,60
1,10828,727,427,5575,876,982,32359,0,-34697644,-58466727,60
1,10775,735,427,5583,876,987,32082,0,-34697631,-58466742,60
1,11299,742,426,5594,875,990,31711,0,-34697619,-58466757,60
1,11574,743,427,5599,870,996,31249,0,-34697608,-58466776,60
1,11780,747,426,5605,860,983,30928,0,-34697596,-58466794,60
1,11730,749,427,5625,857,1001,30599,0,-34697586,-58466814,60
1,11806,754,427,5651,846,990,30240,0,-34697578,-58466834,60
1,11700,755,427,5703,860,996,29893,0,-34697571,-58466854,60
1,12133,754,428,5753,847,979,29438,0,-34697564,-58466876,60
1,12307,762,428,5784,863,976,29071,0,-34697559,-58466899,60
1,12195,769,429,5809,861,965,28595,0,-34697556,-58466922,60
1,12389,779,428,5860,875,962,28207,0,-34697554,-58466947,60
1,12028,793,429,5891,878,957,27721,0,-34697554,-58466971,60
1,12262,807,428,5932,886,971,27487,0,-34697553,-58466996,60
1,12170,822,429,5988,896,969,26975,0,-34697556,-58467021,60
1,12450,832,430,6031,917,964,26760,0,-34697558,-58467046,60
1,12602,839,430,6059,931,958,26394,0,-34697561,-58467071,60
1,12942,857,432,6095,943,959,26144,0,-34697564,-58467097,60
1,12847,873,430,6119,968,966,25982,0,-34697569,-58467122,60
1,12749,883,431,6150,977,965,25629,0,-34697576,-58467147,60
1,12842,897,429,6177,985,965,25559,0,-34697581,-58467174,60
1,13032,910,429,6205,996,972,25460,0,-34697588,-58467199,60
1,13210,920,430,6232,995,974,25390,0,-34697594,-58467226,50
1,13259,930,429,6254,1003,981,25368,0,-34697601,-58467252,50
1,13404,939,432,6279,1004,974,25308,0,-34697608,-58467279,50
1,13513,944,430,6304,1008,975,25332,0,-34697614,-58467306,50
1,13633,954,431,6322,1002,975,25324,0,-34697621,-58467334,50
1,13714,966,431,6340,1007,978,25360,0,-34697628,-58467361,50
1,13882,971,431,6353,1002,979,25331,0,-34697634,-58467389,50
1,13986,980,431,6362,996,975,25349,0,-34697643,-58467417,50
1,14087,989,430,6376,990,985,25374,0,-34697649,-58467446,50
1,14167,996,432,6412,988,983,25405,0,-34697656,-58467474,50
1,14378,1001,430,6450,985,982,25381,0,-34697663,-58467502,50
1,14416,1006,431,6490,981,980,25401,0,-34697669,-58467532,50
2,14489,1014,430,6536,977,976,25376,0,-34697676,-58467561,50
2,14489,1021,430,6583,970,983,25346,0,-34697684,-58467591,50
2,14695,1030,430,6611,963,980,25333,0,-34697691,-58467619,50
2,14709,1036,430,6638,960,990,25293,0,-34697699,-58467649,50
2,14803,1041,432,6667,954,988,25292,0,-34697706,-58467679,50
2,14899,1046,430,6695,944,993,25238,0,-34697714,-58467709,50
2,14866,1048,432,6719,937,993,25179,0,-34697723,-58467739,50
