Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,15011,1051,479,6913,1095,991,6554,0,-3.46975930432317E7,-5.846796849177015E7,80
1,14914,1055,479,6916,1082,988,6719,0,-34697591,-58467964,80
1,15007,1058,479,6923,1078,993,6853,0,-34697581,-58467934,80
1,14996,1062,479,6934,1046,992,6853,0,-34697573,-58467904,80
1,15056,1065,479,6943,1038,996,7065,0,-34697564,-58467874,80
1,15079,1065,479,6958,1023,994,7161,0,-34697556,-58467844,80
1,15143,1068,478,6975,1010,996,7253,0,-34697549,-58467812,80
1,15212,1070,478,6994,993,996,7321,0,-34697541,-58467782,80
1,15278,1071,478,7007,989,992,7422,0,-34697534,-58467751,80
1,15243,1072,479,7021,985,990,7401,0,-34697528,-58467719,80
1,15313,1077,478,7006,985,987,7440,0,-34697519,-58467687,80
1,15325,1081,480,6991,992,995,7422,0,-34697513,-58467657,80
1,15302,1085,479,6974,991,992,7402,0,-34697506,-58467626,80
1,15372,1086,479,6970,993,997,7380,0,-34697498,-58467594,80
1,15368,1088,479,6983,987,996,7329,0,-34697489,-58467562,80
1,15396,1091,478,6996,990,999,7343,0,-34697481,-58467531,80
1,15384,1090,478,7013,994,996,7320,0,-34697474,-58467499,80
1,15372,1090,478,7017,1004,995,7351,0,-34697466,-58467467,80
1,15392,1093,479,7003,1018,997,7322,0,-34697458,-58467436,80
1,15400,1094,479,6986,1036,995,7287,0,-34697449,-58467404,80
1,15420,1094,479,6972,1050,1003,7262,0,-34697441,-58467372,80
1,15408,1097,479,6928,1067,996,7261,0,-34697433,-58467341,90
1,15412,1095,479,6879,1089,1002,7319,0,-34697426,-58467309,90
1,15349,1095,479,6837,1115,997,7358,0,-34697418,-58467277,90
1,15388,1098,478,6772,1124,1001,7412,0,-34697411,-58467244,90
1,15388,1095,480,6707,1147,1006,7509,0,-34697404,-58467212,90
1,15412,1095,479,6652,1165,1002,7607,0,-34697398,-58467181,90
1,15384,1093,479,6605,1157,1008,7774,0,-34697393,-58467147,90
1,15392,1091,479,6581,1152,1003,7962,0,-34697388,-58467116,90
1,15392,1090,479,6577,1177,1015,8190,0,-34697386,-58467082,90
1,15396,1087,480,6602,1154,1004,8351,0,-34697383,-58467051,90
1,15380,1080,479,6657,1145,999,8605,0,-34697383,-58467017,90
1,15321,1079,481,6681,1161,993,8900,0,-34697383,-58466984,90
1,15341,1085,479,6701,1165,1005,9035,0,-34697383,-58466952,90
1,15376,1084,480,6733,1145,997,9240,0,-34697386,-58466921,90
1,15321,1079,480,6740,1181,1009,9572,0,-34697389,-58466887,90
1,15364,1084,479,6720,1172,1001,9670,0,-34697393,-58466854,90
1,15306,1083,480,6719,1174,1009,9907,0,-34697398,-58466822,90
1,15212,1076,480,6712,1198,1001,10155,0,-34697404,-58466791,90
1,15271,1080,481,6668,1201,995,10384,0,-34697411,-58466759,90
1,15364,1077,481,6664,1198,1015,10578,0,-34697419,-58466729,90
1,15321,1078,480,6678,1207,1020,10929,0,-34697429,-58466697,90
1,15345,1074,480,6701,1200,1053,11108,0,-34697439,-58466667,90
1,14970,1058,481,6738,1167,1062,11373,0,-34697451,-58466640,90
1,14058,1038,481,6774,1159,1070,11772,0,-34697466,-58466611,90
1,13117,1012,480,6782,1136,1070,11989,0,-34697479,-58466585,90
1,12981,987,481,6711,1135,1075,12332,0,-34697496,-58466560,90
1,12327,963,480,6565,1120,1076,12605,0,-34697511,-58466536,90
1,11467,935,480,6321,1121,1080,12854,0,-34697528,-58466513,90
1,11616,906,480,6055,1125,1074,13063,0,-34697544,-58466491,90
1,11661,879,480,5713,1124,1075,13268,0,-34697561,-58466471,90
1,10628,852,481,5394,1107,1070,13488,0,-34697578,-58466453,90
1,11007,827,480,5167,1115,1075,13841,0,-34697594,-58466436,90
1,10808,802,481,4942,1118,1077,14011,0,-34697611,-58466421,90
1,9669,774,480,4745,1107,1071,14305,0,-34697628,-58466406,90
1,9764,745,480,4619,1099,1063,14635,0,-34697646,-58466395,90
1,9711,722,480,4475,1112,1059,14913,0,-34697663,-58466383,90
1,9522,703,479,4355,1104,1064,15168,0,-34697679,-58466373,90
1,8545,680,480,4262,1093,1065,15524,0,-34697696,-58466365,90
1,8878,656,480,4168,1097,1065,15989,0,-34697714,-58466358,90
1,8891,633,481,4074,1102,1064,16259,0,-34697729,-58466353,90
1,8348,610,481,4014,1099,1060,16496,0,-34697746,-58466348,90
1,8158,588,480,3938,1103,1054,17095,0,-34697763,-58466348,90
1,7862,567,480,3876,1105,1054,17430,0,-34697778,-58466346,90
1,7835,549,480,3821,1106,1053,17830,0,-34697791,-58466346,100
1,7664,530,480,3749,1104,1041,18329,0,-34697806,-58466350,100
1,7381,510,478,3696,1093,1021,18796,0,-34697819,-58466353,100
1,7166,499,480,3637,1091,1002,19549,0,-34697833,-58466358,90
1,7205,499,479,3563,1091,995,20161,0,-34697844,-58466365,90
1,7334,501,478,3503,1117,995,20796,0,-34697854,-58466373,90
1,7639,504,478,3487,1116,1013,21518,0,-34697864,-58466383,90
1,7625,504,478,3539,1110,1006,22015,0,-34697873,-58466393,90
1,7359,489,480,3676,1116,1014,22531,0,-34697881,-58466405,90
1,7251,481,479,3857,1113,987,23130,0,-34697889,-58466418,90
1,7227,488,479,4112,1105,997,23130,0,-34697893,-58466431,90
1,7578,493,478,4343,1103,999,24782,0,-34697898,-58466445,90
1,7270,500,478,4507,1116,1006,25495,0,-34697899,-58466460,90
1,7378,495,478,4664,1104,993,25807,0,-34697901,-58466473,90
1,7426,493,477,4797,1106,995,26535,0,-34697901,-58466490,90
1,7628,501,478,4900,1085,984,27041,0,-34697899,-58466503,90
1,7503,504,478,5019,1088,992,28281,0,-34697893,-58466516,90
1,8348,507,479,5125,1084,973,28934,0,-34697888,-58466530,90
1,7755,515,479,5210,1093,977,29633,0,-34697879,-58466543,90
1,7964,523,478,5293,1093,970,29953,0,-34697873,-58466556,90
1,8153,534,478,5373,1088,973,30489,0,-34697864,-58466568,90
